sessionId,vis,reported,truth,error
gs7qta0a0u3xawc1s4576,Bubble,85,90.8328791,2.574798849
gs7qta0a0u3xawc1s4577,Bar,35,28.36846132,2.756284354
gs7qta0a0u3xawc1s4578,Bar,45,38.27829624,2.775409592
gs7qta0a0u3xawc1s4579,Bubble,60,50.55837584,3.258009921
gs7qta0a0u3xawc1s4580,Bubble,40,39.24664421,0
gs7qta0a0u3xawc1s4581,Bar,65,58.0951263,2.813498769
gs7qta0a0u3xawc1s4582,Pie,95,98.15793021,1.714984083
gs7qta0a0u3xawc1s4583,Bar,75,60.75508824,3.844979298
gs7qta0a0u3xawc1s4584,Bubble,85,91.82248575,2.79649097
gs7qta0a0u3xawc1s4585,Bubble,80,68.03229474,3.596065121
gs7qta0a0u3xawc1s4586,Pie,25,30.37010985,2.458148321
gs7qta0a0u3xawc1s4587,Pie,90,76.26924442,3.792413481
gs7qta0a0u3xawc1s4588,Bubble,95,69.48018428,4.680595299
gs7qta0a0u3xawc1s4589,Bubble,85,70.84319712,3.836106206
gs7qta0a0u3xawc1s4590,Pie,15,21.42669356,2.71186788
gs7qta0a0u3xawc1s4591,Pie,80,83.83291862,1.98474195
gs7qta0a0u3xawc1s4592,Pie,55,41.77373617,3.738904409
gs7qta0a0u3xawc1s4593,Pie,65,49.45161303,3.97024507
gs7qta0a0u3xawc1s4594,Pie,95,90.56634702,2.18860759
gs7qta0a0u3xawc1s4595,Bar,40,32.17861515,2.990298666
gs7qta0a0u3xawc1s4596,Bubble,85,82.33470504,1.480417636
gs7qta0a0u3xawc1s4597,Bubble,70,54.65795014,3.951126143
gs7qta0a0u3xawc1s4598,Bar,40,25.04564136,3.914503163
gs7qta0a0u3xawc1s4599,Pie,10,19.66973879,3.292007019
gs7qta0a0u3xawc1s4600,Bubble,70,58.59598499,3.527197355
gs7qta0a0u3xawc1s4601,Bar,60,73.52321666,3.770640549
gs7qta0a0u3xawc1s4602,Bar,90,81.51908659,3.105328324
gs7qta0a0u3xawc1s4603,Bar,75,68.43017972,2.743045327
gs7qta0a0u3xawc1s4604,Bar,70,55.23962462,3.895823699
gs7qta0a0u3xawc1s4605,Pie,45,55.54308582,3.415229431
gs7qta0a0u3xawc1s4606,Bar,45,37.36104369,2.956792
gs7qta0a0u3xawc1s4607,Bubble,80,61.29128099,4.235246005
gs7qta0a0u3xawc1s4608,Bar,40,26.3698097,3.781904194
gs7qta0a0u3xawc1s4609,Bubble,75,46.29822712,4.849337433
gs7qta0a0u3xawc1s4610,Bubble,50,40.11651579,3.323151589
gs7qta0a0u3xawc1s4611,Bubble,80,73.76673781,2.668632508
gs7qta0a0u3xawc1s4612,Bar,90,88.19825385,0.9461665058
gs7qta0a0u3xawc1s4613,Bar,98,96.12806046,0.9977906523
gs7qta0a0u3xawc1s4614,Bubble,75,59.47832574,3.967784137
gs7qta0a0u3xawc1s4615,Pie,90,92.20354052,1.219425988
gs7qta0a0u3xawc1s4616,Bar,30,26.35358829,1.915104652
gs7qta0a0u3xawc1s4617,Bar,90,90.61160052,0
gs7qta0a0u3xawc1s4618,Pie,60,36.63205224,4.554155841
gs7qta0a0u3xawc1s4619,Bubble,75,50.49715397,4.622218549
gs7qta0a0u3xawc1s4620,Bubble,70,68.98043855,0.1947949182
gs7qta0a0u3xawc1s4621,Bar,40,38.49821133,0.7020268492
gs7qta0a0u3xawc1s4622,Bubble,65,75.27510376,3.378526017
gs7qta0a0u3xawc1s4623,Bar,70,65.11964723,2.323471753
gs7qta0a0u3xawc1s4624,Bubble,90,72.84157593,4.111317157
bvh3wsmlhg5y5i4ar7zqkh,Bubble,75,61.38337818,3.780480379
bvh3wsmlhg5y5i4ar7zqkh,Bar,75,67.20306681,2.985852534
bvh3wsmlhg5y5i4ar7zqkh,Bubble,100,96.7306467,1.763136733
bvh3wsmlhg5y5i4ar7zqkh,Pie,50,49.73618209,0
bvh3wsmlhg5y5i4ar7zqkh,Bubble,80,89.86778695,3.320887096
bvh3wsmlhg5y5i4ar7zqkh,Bar,100,98.90950797,0.2815404325
bvh3wsmlhg5y5i4ar7zqkh,Pie,65,62.8995768,1.154079714
bvh3wsmlhg5y5i4ar7zqkh,Pie,20,20.40813592,0
bvh3wsmlhg5y5i4ar7zqkh,Pie,75,65.22189053,3.307881587
bvh3wsmlhg5y5i4ar7zqkh,Pie,25,35.07997433,3.351200648
bvh3wsmlhg5y5i4ar7zqkh,Bar,95,94.01004023,0.1569916584
bvh3wsmlhg5y5i4ar7zqkh,Pie,25,35.07997433,3.351200648
bvh3wsmlhg5y5i4ar7zqkh,Bar,33,38.43234029,2.474394583
bvh3wsmlhg5y5i4ar7zqkh,Bar,45,45.17598344,0
bvh3wsmlhg5y5i4ar7zqkh,Bar,100,99.86076767,0
bvh3wsmlhg5y5i4ar7zqkh,Pie,80,89.07687761,3.201928267
bvh3wsmlhg5y5i4ar7zqkh,Pie,25,35.07997433,3.351200648
bvh3wsmlhg5y5i4ar7zqkh,Bubble,60,43.44839835,4.059753422
bvh3wsmlhg5y5i4ar7zqkh,Pie,20,19.41569613,0
bvh3wsmlhg5y5i4ar7zqkh,Bubble,50,42.57523739,2.916431283
bvh3wsmlhg5y5i4ar7zqkh,Bubble,80,90.50768491,3.41043404
